Las Sagradas Escrituras;Srimad Bhagavatam;Editorial Comunicación;;;;;10/10/2006;
Las Apariciones;Erich Von Däniken;Editorial Comunicación;;;;;10/10/2006;
Memorias de un Hombre Invisible;H.F. Saint;Circulo Lectores;;;;;10/10/2006;
Los Aztecas;Manuel Yáñez Solana;M.E. Editores;;;;;10/10/2006;
El Santo Grial;Carter Scott;M.E. Editores;;;;;10/10/2006;
Jardín Sombrío;V.C. Andrews;Salvat;;;;;10/10/2006;
El Ladrón de la Navidad;Mary Higgins Clark;De Bolsillo;;;;;18/10/2006;
Cuando el Abismo Separa;Nicholas Evans;Plaza y Janes;;;;;25/10/2006;
Némesis  Índigo I;Louise Cooper;Timun Mas;;;;;06/11/2006;
Infierno    Índigo II;Louise Cooper;Tamun Mas;;;;;06/11/2006;
Infanta     Índigo III;Louise Cooper;Tamun Mas;;;;;06/10/2006;
Nocturno Índigo IV;Louise Cooper;Tamun Mas;;;;;06/11/2006;
Troika     Índigo V;Louise Cooper;Tamun Mas;;;;;06/11/2006;
Avatar     Índigo VI;Louise Cooper;Tamun Mas;;;;;06/11/2006;
La Brecha;Toti Martínez de Leza;Editorial Planeta;;;;;15/11/2006;
Todo Bajo el Cielo;Matilde Asensi;Editorial Planeta;;;;;15/11/2006;
El Príncipe de la Niebla;Carlos Ruiz Zafón;Editorial Planeta;;;;;15/11/2006;
El Palacio de la Medianoche;Carlos Ruiz Zafón;Editorial Planeta;;;;;15/11/2006;
Hacia la Paz Interior;Tensin Giatso;Circulo Lectores;;;;;29/11/2006;
Caballo de Troya 8;J.J. Benítez;Editorial Planeta;;;;;15/01/2007;
Corsarios de Levante;Arturo Pérez Reverte;Alfaguara;;;;;17/01/2007;
Sexo en Nueva York;Candace Bushnell;R.B.A.;;;;;17/01/2007;
El Diablo Viste de Prada;Lauren Weisberger;R.B.A.;;;;;17/01/2007;
La Canción de los Misioneros;John le Carré;Areté;;;;;17/01/2007;
A la hora en que Cierran los Bares;Soledad Puertotas;Escritores Españoles;;;;;;
Alba, Reina de las Avispas;Emma Cohen;Escritores Españoles;;;;;;
Las Palabras del Mundo;José María merino;Escritores Españoles;;;;;;
Luzmilla;Álvaro Pombo;Escritores Españoles;;;;;;
Profesión Peligrosa;Luciano Canfora;Escritores Españoles;;;;;;
Reflexiones de Robinson ante un Bacalao;Vázquez Montalbán;Escritores Españoles;;;;;;
El tiburón y el Ángel;Marina Mayoral;Escritores Españoles;;;;;;
El Corazón Helado;Almudena Grandes;Tusquets;;;;;05/03/2007;
La Sangre de los Inocentes;Julia Navarro;Plaza y Janes;;;;;07/03/2007;
El Pedestal de las Estatuas;Antonio Gala;Planeta;;;;;19/03/2007;
Dos niñas Vestidas de Azul;Mary Higgins Clark;Plaza y Janes;;;;;26/03/2007;
Secretos y Mentiras de la Familia Real;Pilar Eyre;La Esfera;;;;;28/03/2007;
Boletín de Estudios del Bidasoa;Varios;Kulturtaldea;;;;;10/04/2007;
Los nombres de las Calles de Irún;José Monje garcía;Kulturtaldea;;;;;10/04/2007;
Boletín de Estudios del Bidasoa;Varios;Kulturtaldea;;;;;10/04/2007;
Constitución de la República Española;Varios;Kulturtaldea;;;;;10/04/2007;
Irún. Popular Fotográfico III;José María Arina Zapata;Jomi SA;;;;;10/04/2007;
Irún y sus Gentes 1890-2001;José María Arina Zapata;Jomi SA;;;;;10/04/2007;
Irún Imagines para el recuerdo 1900-2000;José María Arina Zapata;Jomi SA;;;;;10/04/2007;
El Agua en la Cocina del Futuro;Academia Española de Gastronomía;Grupo Zeta;;;;;10/04/2007;
National Gallery Paseos del Mundo;Centro Editor PDA SL;Espasa;;;;;10/04/2007;
Escucha mi Voz;Susanna Tamaro;Seix Barral;;;;;10/04/2007;
Los hijos de Húrin;J.R.R. Tolkien;Minotauro;;;;;30/05/2007;
En el Cielo con Diamantes;Senel Paz;Ediciones B;;;;;30/05/2007;
La Venganza;Fernando Schwarz;Planeta;;;;;13/06/2007;
Castillos de Cartón;Almudena Grandes;Circulo Lectores;;;;;13/06/2007;
La Niebla Herida;Joaquín M. Barrero;ediciones B;;;;;25/06/2007;
La Niebla y la Doncella;Lorenzo Silva;Destino;;;;;25/06/2007;
Lo mejor que le puede pasar a un Cruasan;Pablo Tusset;Circulo Lectores;;;;;25/06/2007;
La Rosa de Plata;Soledad Puertotas;Planeta Agostini;;;;;27/06/2007;
Como Agua para Chocolate;Laura Esquivel;Salvat;;;;;27/06/2007;
Adreilu Lapurra;Fernando Aramburu;S.M.;;;;;02/07/2007;
Las Luces de Septiembre;Carlos Ruiz Zafón;Planeta;;;;;04/07/2007;
Manual de Caza y Pesca para Chicas;Melissa Bank;Circulo Lectores;;;;;06/07/2007;
