100.000 Kms tras los Ovnis;J.J. Benítez;Plaza y Janez;null;null;null;null;2006-10-10;
Ovnis S.O.S. a la Humanidad;J.J. Benítez;Plaza y Janez;null;null;null;null;2006-10-10;
Los Textos bíblicos;Victoria Robbins;Plaza y Janez;null;null;null;null;2006-10-10;
El Rabino;Noah Gordon;Ediciones Beta;null;null;null;null;2006-10-10;
La Atlántida;Carlos Barceló;Ediciones Beta;null;null;null;null;2006-10-10;
El Continente Perdido;R. Benito Vidal;Ediciones Beta;null;null;null;null;2006-10-10;
Las Sagradas Escrituras;Srimad Bhagavatam;Editorial Comunicación;null;null;null;null;2006-10-10;
Las Apariciones;Erich Von Däniken;Editorial Comunicación;null;null;null;null;2006-10-10;
Memorias de un Hombre Invisible;H.F. Saint;Circulo Lectores;null;null;null;null;2006-10-10;
Los Aztecas;Manuel Yáñez Solana;M.E. Editores;null;null;null;null;2006-10-10;
El Santo Grial;Carter Scott;M.E. Editores;null;null;null;null;2006-10-10;
Jardín Sombrío;V.C. Andrews;Salvat;null;null;null;null;2006-10-10;
El Ladrón de la Navidad;Mary Higgins Clark;De Bolsillo;null;null;null;null;1999-12-31;
Némesis  Índigo I;Louise Cooper;Timun Mas;null;null;null;null;2006-6-11;
Cuando el Abismo Separa;Nicholas Evans;Plaza y Janes;null;null;null;null;1999-12-31;
Infierno    Índigo II;Louise Cooper;Tamun Mas;null;null;null;null;2006-6-11;
Infanta     Índigo III;Louise Cooper;Tamun Mas;null;null;null;null;2006-6-10;
Nocturno Índigo IV;Louise Cooper;Tamun Mas;null;null;null;null;2006-6-11;
Troika     Índigo V;Louise Cooper;Tamun Mas;null;null;null;null;2006-6-11;
Avatar     Índigo VI;Louise Cooper;Tamun Mas;null;null;null;null;2006-6-11;
La Brecha;Toti Martínez de Leza;Editorial Planeta;null;null;null;null;1999-12-31;
Todo Bajo el Cielo;Matilde Asensi;Editorial Planeta;null;null;null;null;1999-12-31;
El Príncipe de la Niebla;Carlos Ruiz Zafón;Editorial Planeta;null;null;null;null;1999-12-31;
El Palacio de la Medianoche;Carlos Ruiz Zafón;Editorial Planeta;null;null;null;null;1999-12-31;
Hacia la Paz Interior;Tensin Giatso;Circulo Lectores;null;null;null;null;1999-12-31;
Caballo de Troya 8;J.J. Benítez;Editorial Planeta;null;null;null;null;1999-12-31;
Corsarios de Levante;Arturo Pérez Reverte;Alfaguara;null;null;null;null;1999-12-31;
Sexo en Nueva York;Candace Bushnell;R.B.A.;null;null;null;null;1999-12-31;
El Diablo Viste de Prada;Lauren Weisberger;R.B.A.;null;null;null;null;1999-12-31;
La Canción de los Misioneros;John le Carré;Areté;null;null;null;null;1999-12-31;
A la hora en que Cierran los Bares;Soledad Puertotas;Escritores Españoles;null;null;null;null;1999-12-31;
Alba, Reina de las Avispas;Emma Cohen;Escritores Españoles;null;null;null;null;1999-12-31;
Las Palabras del Mundo;José María merino;Escritores Españoles;null;null;null;null;1999-12-31;
Luzmilla;Álvaro Pombo;Escritores Españoles;null;null;null;null;1999-12-31;
Profesión Peligrosa;Luciano Canfora;Escritores Españoles;null;null;null;null;1999-12-31;
Reflexiones de Robinson ante un Bacalao;Vázquez Montalbán;Escritores Españoles;null;null;null;null;1999-12-31;
El tiburón y el Ángel;Marina Mayoral;Escritores Españoles;null;null;null;null;1999-12-31;
El Corazón Helado;Almudena Grandes;Tusquets;null;null;null;null;2007-5-3;
La Sangre de los Inocentes;Julia Navarro;Plaza y Janes;null;null;null;null;2007-7-3;
El Pedestal de las Estatuas;Antonio Gala;Planeta;null;null;null;null;1999-12-31;
Dos niñas Vestidas de Azul;Mary Higgins Clark;Plaza y Janes;null;null;null;null;1999-12-31;
Secretos y Mentiras de la Familia Real;Pilar Eyre;La Esfera;null;null;null;null;1999-12-31;
Boletín de Estudios del Bidasoa;Varios;Kulturtaldea;null;null;null;null;2007-10-4;
